number,owner,title,created_at,updated_at,closed_at,issue_url,diff_url,PR_lived,events_url,labels,issue_created_at,issue_closed_at,lines_changed
44123,logandavies181,net/http: add new error type to be returned on unsuccessful CONNECT request,2021-02-05T11:30:12Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/44123,https://github.com/golang/go/pull/44123.diff,11770415.0,https://api.github.com/repos/golang/go/issues/44123/events,['cla: yes'],2021-02-05T11:30:12Z,,38
43879,howjmay,debug/pe: fix OOM caused by huge NumberOfSymbols,2021-01-24T10:34:30Z,2021-11-08T11:17:19Z,,https://api.github.com/repos/golang/go/issues/43879,https://github.com/golang/go/pull/43879.diff,24885769.0,https://api.github.com/repos/golang/go/issues/43879/events,['cla: yes'],2021-01-24T10:34:30Z,,8
43878,dreamerjackson,strconv/ftoa.go: add comment when format print float but Grisu3 algorithm failed,2021-01-24T09:08:03Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/43878,https://github.com/golang/go/pull/43878.diff,12815744.0,https://api.github.com/repos/golang/go/issues/43878/events,['cla: yes'],2021-01-24T09:08:03Z,,1
43869,dreamerjackson,runtime/proc.go: add comment when schedule in the GC mark phase,2021-01-23T15:01:15Z,2021-11-08T11:35:35Z,,https://api.github.com/repos/golang/go/issues/43869,https://github.com/golang/go/pull/43869.diff,24957260.0,https://api.github.com/repos/golang/go/issues/43869/events,['cla: yes'],2021-01-23T15:01:15Z,,1
43831,howjmay,cmd/compile: better error msg for impossible type assertions ,2021-01-21T17:27:14Z,2021-11-08T12:30:41Z,,https://api.github.com/repos/golang/go/issues/43831,https://github.com/golang/go/pull/43831.diff,25124607.0,https://api.github.com/repos/golang/go/issues/43831/events,['cla: yes'],2021-01-21T17:27:14Z,,3312
43799,dlsniper,io/ioutil: flag package and functions with the Deprecated marker,2021-01-20T08:55:18Z,2022-03-24T22:59:00Z,,https://api.github.com/repos/golang/go/issues/43799,https://github.com/golang/go/pull/43799.diff,37029822.0,https://api.github.com/repos/golang/go/issues/43799/events,['cla: yes'],2021-01-20T08:55:18Z,,0
43779,Miss-you,encoding/json: don't use the same name for nested loop variables,2021-01-19T18:53:25Z,2022-03-30T18:16:14Z,,https://api.github.com/repos/golang/go/issues/43779,https://github.com/golang/go/pull/43779.diff,37581769.0,https://api.github.com/repos/golang/go/issues/43779/events,['cla: yes'],2021-01-19T18:53:25Z,,4
43742,billallen256,crypto/ed25519: This change modifies Go to clarify docs for PrivateKey.Sign(),2021-01-16T13:11:09Z,2022-04-12T02:15:06Z,,https://api.github.com/repos/golang/go/issues/43742,https://github.com/golang/go/pull/43742.diff,38927037.0,https://api.github.com/repos/golang/go/issues/43742/events,['cla: yes'],2021-01-16T13:11:09Z,,0
43716,ggaaooppeenngg,encoding/json: increment byte counter when using decoder.Token,2021-01-15T08:58:39Z,2021-11-08T12:30:13Z,,https://api.github.com/repos/golang/go/issues/43716,https://github.com/golang/go/pull/43716.diff,25673494.0,https://api.github.com/repos/golang/go/issues/43716/events,['cla: yes'],2021-01-15T08:58:39Z,,16
43690,klauspost,crypto/md5: optimize amd64 assembly,2021-01-14T11:13:36Z,2021-10-06T16:11:44Z,,https://api.github.com/repos/golang/go/issues/43690,https://github.com/golang/go/pull/43690.diff,22913888.0,https://api.github.com/repos/golang/go/issues/43690/events,['cla: yes'],2021-01-14T11:13:36Z,,56
